Term,Course,Credits,Grade,Name
FA22, AFROAMER231,3.00,A,Intro to Afro-Am History
SP23, ANTHRO 105,3.00,A,Principles - Biological Anthr
SP23, ANTHRO 212,3.00,A,Principles of Archaeology
SP23, ASIAN 268,3.00,A,Tibetan Cultures & Traditions
FA22, COMP SCI200,3.00,T,Programming I
FA22, COMP SCI252,3.00,A,Intro to Computer Engineering
FA22, COMP SCI300,3.00,A,Programming II
FA23, COMP SCI320,4.00,INP,Data Sci Programming II
SP23, COMP SCI354,3.00,AB,Machine Organizatn&Progrmng
SP23, COMP SCI400,3.00,A,Programming III
SU23, ECON 100,3.00,T,Econ Approach Current Issues
FA22, ENGL 100,3.00,A,Intro to College Composition
FA23, ENTOM 201,3.00,INP,Insects and Human Culture
FA23, FRENCH 2110,3.00,INP,Exploring Montreal and Quebec
FA22, MATH 221,5.00,T,Calculus&Analytic Geometry 1
FA22, MATH 222,4.00,T,Calculus&Analytic Geometry 2
FA23, MATH 240,3.00,INP,Intro to Discrete Mathematics
FA22, MATH 340,3.00,A,Elem Matrix & Linear Algebra
FA23, STAT 240,4.00,INP,Data Science Modeling I
