Course Name,Madgrades Link,Course Code,Average GPA
General Chemistry I,https://madgrades.com/courses/692b17a3-b6e8-36ca-9125-ffd3599310b5,CHEM 103,2.977
Introduction to Psychology,https://madgrades.com/courses/c4b711dc-f288-33ed-b28a-ffd913508ba8,PSYCH 202,2.953
Principles of Microeconomics,https://madgrades.com/courses/b81df125-d61c-3801-bb09-43062bfb2f4b,ECON 101,3.029
Music in Performance,https://madgrades.com/courses/375be695-8a2b-327f-a297-f7dbc97ce275,MUSIC 113,3.934
General Chemistry II,https://madgrades.com/courses/f72602ce-b6a3-39c0-9351-274adbb760f4,CHEM 104,2.938
Calculus and Analytic Geometry 1,https://madgrades.com/courses/ba5e501e-ce8d-30f5-afc5-974a94abb3b4,MATH 221,2.885
Introductory Organic Chemistry,https://madgrades.com/courses/3dbd2be9-9044-378f-b910-f6d851fe61f7,CHEM 343,2.785
Calculus and Analytic Geometry 2,https://madgrades.com/courses/6a44f01b-2a3a-31c2-913d-2aa593d3a352,MATH 222,2.809
Calculus--Functions of Several Variables,https://madgrades.com/courses/dda5359e-55e4-3269-81f4-8fbfe3da4c0a,MATH 234,2.955
Nutrition Today,https://madgrades.com/courses/d7563950-ae00-3d50-9bf8-fe094b342f9c,NUTR SCI 132,2.944
Cultural Anthropology and Human Diversity,https://madgrades.com/courses/a4dcc153-1a04-39d8-9b28-b56fb4fa5266,ANTHRO 104,3.444
Animal Biology,https://madgrades.com/courses/c9ed47c4-72ad-3ea9-8b3f-cf88c6c6a5c6,BIOLOGY / ZOOLOGY 101,2.559
Principles of Macroeconomics,https://madgrades.com/courses/9d5e6a29-a689-33ac-a62d-808dc5b91ea3,ECON 102,2.988
Intermediate Organic Chemistry,https://madgrades.com/courses/f9c8f047-0915-3752-aabc-49affeed9942,CHEM 345,2.827
Introduction to Statistical Methods,https://madgrades.com/courses/f31fb5a4-74ce-33c5-b532-e5c7d4d2a92a,STAT 301,3.055
Marketing Management,https://madgrades.com/courses/c9c99cb2-efeb-3cd3-a2e0-0e960ac4080d,MARKETNG 300,3.203
Introductory Biology,https://madgrades.com/courses/c44cb7db-e746-3a31-bb4b-0351e0dc7634,BIOLOGY / BOTANY / ZOOLOGY 151,2.893
Introductory Biology,https://madgrades.com/courses/39a99bf4-6745-38c3-b76d-42e994c59c1d,BIOLOGY / BOTANY / ZOOLOGY 152,3.119
