Major,Requirement,Course Code,Course Title,Credits
"African American Studies, B.A.",Non–L&S students pursuing an L&S major,WS 222,Introduction to Black Women Writers,
"African American Studies, B.A.",Non–L&S students pursuing an L&S major,AFROAMER 225,Introduction to African American Dramatic Literature,
"African American Studies, B.A.",Non–L&S students pursuing an L&S major,AFROAMER 227,Masterpieces of African American Literature,
"African American Studies, B.A.",Non–L&S students pursuing an L&S major,AFROAMER 265,African-American Autobiography,
"African American Studies, B.A.",Non–L&S students pursuing an L&S major,AFROAMER 337,The Harlem Renaissance,
"African American Studies, B.A.",Non–L&S students pursuing an L&S major,AFROAMER 338,The Black Arts Movement,
"African American Studies, B.A.",Literature,WS 222,Introduction to Black Women Writers,
"African American Studies, B.A.",Literature,AFROAMER 225,Introduction to African American Dramatic Literature,
"African American Studies, B.A.",Literature,AFROAMER 227,Masterpieces of African American Literature,
"African American Studies, B.A.",Literature,AFROAMER 265,African-American Autobiography,
"African American Studies, B.A.",Literature,AFROAMER 337,The Harlem Renaissance,
"African American Studies, B.A.",Literature,AFROAMER 338,The Black Arts Movement,
"African American Studies, B.A.",History and Society,AFROAMER 151,Introduction to Contemporary Afro-American Society,
"African American Studies, B.A.",History and Society,AFROAMER 231,Introduction to Afro-American History,
"African American Studies, B.A.",History and Society,AFROAMER 272,Race and American Politics from the New Deal to the New Right,
"African American Studies, B.A.",History and Society,HISTORY 321,Afro-American History Since 1900,
"African American Studies, B.A.",History and Society,HISTORY 322,Afro-American History to 1900,
"African American Studies, B.A.",History and Society,WS 324,Black Women in America: Reconstruction to the Present,
"African American Studies, B.A.",History and Society,WS 326,Race and Gender in Post-World War II U.S. Society,
"African American Studies, B.A.",History and Society,HISTORY 393,"Slavery, Civil War, and Reconstruction, 1848-1877",
"African American Studies, B.A.",Arts and CuLture,AFROAMER 154,Hip-Hop and Contemporary American Society,
"African American Studies, B.A.",Arts and CuLture,AFROAMER 156,Black Music and American Cultural History,
"African American Studies, B.A.",Arts and CuLture,HIST 241,Introduction to African Art and Architecture,
"African American Studies, B.A.",Arts and CuLture,HIST 242,Introduction to Afro-American Art,
"African American Studies, B.A.",Arts and CuLture,WS 267,Artistic/Cultural Images of Black Women,
"African American Studies, B.A.",Arts and CuLture,AFROAMER 303,"Blacks, Film, and Society",
"African American Studies, B.A.",Arts and CuLture,WS 367,Art and Visual Culture: Women of the African Diaspora and Africa,
"African American Studies, B.A.",SEMINARS AND ADVANCED COURSES,WS 624,African American Women's Activism (19th & 20th Centuries),
"African American Studies, B.A.",SEMINARS AND ADVANCED COURSES,WS 625,"Gender, Race and the Civil Rights Movement",
"African American Studies, B.A.",SEMINARS AND ADVANCED COURSES,HISTORY 628,History of the Civil Rights Movement in the United States,
"African American Studies, B.A.",SEMINARS AND ADVANCED COURSES,AFROAMER 631,Colloquium in Afro-American History,
"African American Studies, B.A.",SEMINARS AND ADVANCED COURSES,AFROAMER 669,Interdisciplinary Studies in the Arts,
"African American Studies, B.A.",SEMINARS AND ADVANCED COURSES,AFROAMER 671,Selected Topics in Afro-American History,
"African American Studies, B.A.",SEMINARS AND ADVANCED COURSES,ENGL 672,Selected Topics in Afro-American Literature,
"African American Studies, B.A.",SEMINARS AND ADVANCED COURSES,AFROAMER 673,Selected Topics in Afro-American Society,
"African American Studies, B.A.",SEMINARS AND ADVANCED COURSES,AFROAMER 675,Selected Topics in Afro-American Culture,
"African American Studies, B.A.",SEMINARS AND ADVANCED COURSES,WS 677,Critical and Theoretical Perspectives in Black Women's Writings,
"African American Studies, B.A.",SEMINARS AND ADVANCED COURSES,WS 679,"Visual Culture, Gender and Critical Race Theory",
"African American Studies, B.A.",ELECTIVES,FOLKLORE 102,Introduction to Comparative US Ethnic and American Indian Studies,
"African American Studies, B.A.",ELECTIVES,AFROAMER 155,They: Race in American Literature,
"African American Studies, B.A.",ELECTIVES,WS 221,Introduction to Black Women's Studies,
"African American Studies, B.A.",ELECTIVES,AFROAMER 271,Selected Topics in African American Culture,
"African American Studies, B.A.",ELECTIVES,SCI 297,African and African-American Linkages: An Introduction,
"African American Studies, B.A.",ELECTIVES,AFROAMER 302,Undergraduate Studies in Afro-American History,
"African American Studies, B.A.",ELECTIVES,MUSIC 318,Cultural Cross Currents: West African Dance/Music in the Americas,
"African American Studies, B.A.",ELECTIVES,WS 323,"Gender, Race and Class: Women in U.S. History",
"African American Studies, B.A.",ELECTIVES,WS 333,Black Feminisms,
"African American Studies, B.A.",ELECTIVES,HISTORY 347,The Caribbean and its Diasporas,
"African American Studies, B.A.",ELECTIVES,AFROAMER 456,Soul Music and the African American Freedom Movement,
"African American Studies, B.A.",ELECTIVES,AFROAMER 469,Interdisciplinary Studies in the Arts,
"African American Studies, B.A.",ELECTIVES,SCI 519,African American Political Theory,
"African American Studies, B.A.",ELECTIVES,HIST 523,"Race, American Medicine and Public Health",
"African American Studies, B.A.",ELECTIVES,POL 567,History of African American Education,
"African American Studies, B.A.",RESIDENCE & QUALITY OF WORK in the MAJOR,HIST 241,Introduction to African Art and Architecture,3
"African American Studies, B.A.",RESIDENCE & QUALITY OF WORK in the MAJOR,SPANISH 260,Latin America: An Introduction,3-4
"African American Studies, B.A.",RESIDENCE & QUALITY OF WORK in the MAJOR,SOC 277,Africa: An Introductory Survey,4
"African American Studies, B.A.",RESIDENCE & QUALITY OF WORK in the MAJOR,SCI 297,African and African-American Linkages: An Introduction,4
"African American Studies, B.A.",RESIDENCE & QUALITY OF WORK in the MAJOR,HISTORY 347,The Caribbean and its Diasporas,3
"African American Studies, B.A.",RESIDENCE & QUALITY OF WORK in the MAJOR,AFRICAN 413,Contemporary African and Caribbean Drama,3-4
"African American Studies, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,WS 222,Introduction to Black Women Writers,
"African American Studies, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,AFROAMER 225,Introduction to African American Dramatic Literature,
"African American Studies, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,AFROAMER 227,Masterpieces of African American Literature,
"African American Studies, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,AFROAMER 265,African-American Autobiography,
"African American Studies, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,AFROAMER 337,The Harlem Renaissance,
"African American Studies, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,AFROAMER 338,The Black Arts Movement,
"African American Studies, B.S.",Literature,WS 222,Introduction to Black Women Writers,
"African American Studies, B.S.",Literature,AFROAMER 225,Introduction to African American Dramatic Literature,
"African American Studies, B.S.",Literature,AFROAMER 227,Masterpieces of African American Literature,
"African American Studies, B.S.",Literature,AFROAMER 265,African-American Autobiography,
"African American Studies, B.S.",Literature,AFROAMER 337,The Harlem Renaissance,
